date,open,high,low,close,volume
2025-02-17,882.1,904.3,865.85,896.4,630021
2025-02-18,902.0,912.0,877.15,884.65,946760
2025-02-19,883.5,945.0,870.0,932.7,931472
2025-02-20,932.7,979.0,932.7,955.25,864634
2025-02-21,959.0,985.0,946.55,981.25,481971
2025-02-24,980.95,1050.0,966.45,1009.4,3041066
2025-02-25,1010.0,1067.25,1010.0,1038.5,1939581
2025-02-27,1034.7,1046.4,1002.2,1010.15,622537
2025-02-28,991.0,1011.9,977.55,998.3,2050567
2025-03-03,994.4,1005.05,971.85,978.6,1493319
2025-03-04,970.0,1001.3,970.0,983.05,1119762
2025-03-05,982.6,1003.05,977.0,983.5,778300
2025-03-06,987.85,992.2,961.0,966.25,349340
2025-03-07,965.95,979.8,964.55,972.9,521682
2025-03-10,972.0,984.0,890.0,895.4,2325435
2025-03-11,889.3,896.4,861.45,865.15,1640437
2025-03-12,868.0,870.8,832.1,846.35,880718
2025-03-13,848.75,884.95,825.0,864.85,1427481
2025-03-17,864.85,870.25,851.0,854.6,476976
2025-03-18,855.5,919.95,855.5,914.8,2043895
2025-03-19,914.8,943.85,887.3,923.8,2776070
2025-03-20,923.8,930.0,913.5,926.6,554710
2025-03-21,926.6,982.0,914.2,942.75,4892340
2025-03-24,950.0,997.6,942.8,978.75,1536573
2025-03-25,978.05,988.5,966.9,977.8,757033
2025-03-26,972.95,983.25,941.25,959.65,397546
2025-03-27,950.0,987.0,942.0,971.4,1816532
2025-03-28,976.7,983.0,924.9,942.65,969709
2025-04-01,949.0,954.75,883.05,888.15,529235
2025-04-02,889.95,897.6,872.55,890.55,310152
2025-04-03,890.0,919.95,886.4,912.5,355479
2025-04-04,912.5,931.8,837.95,849.35,962981
2025-04-07,806.6,897.95,790.5,886.55,919861
2025-04-08,883.0,889.8,843.05,847.7,880189
2025-04-09,848.05,852.75,804.3,808.55,554023
2025-04-11,825.95,880.9,812.0,870.2,1958890
2025-04-15,900.0,950.0,895.0,938.7,2860927
2025-04-16,933.95,958.0,917.3,943.75,866333
2025-04-17,954.95,990.6,950.05,956.8,2754876
2025-04-21,968.0,985.5,948.0,954.25,2264748
